term,category,weight
photos,DEP_SCORE,-0.347979026
como,DEP_SCORE,-9.656717029
bottles,DEP_SCORE,-6.607321044
ch,DEP_SCORE,1.94781128
flu,DEP_SCORE,-3.346876842
page,DEP_SCORE,-2.443255075
advise,DEP_SCORE,0.256973707
sickness,DEP_SCORE,30.66513642
onions,DEP_SCORE,4.9304252
topped,DEP_SCORE,-0.833654199
compassion,DEP_SCORE,-8.088877975
tha,DEP_SCORE,6.341606618
usa,DEP_SCORE,12.33235879
foul,DEP_SCORE,23.48166881
honesty,DEP_SCORE,-5.699079737
lottery,DEP_SCORE,-16.00945514
invest,DEP_SCORE,15.29917151
cd,DEP_SCORE,10.09852263
injuries,DEP_SCORE,2.093622202
trusted,DEP_SCORE,-9.269272915
love,DEP_SCORE,-9.940748223
bra,DEP_SCORE,-14.36158827
terrifying,DEP_SCORE,0.927738635
mist,DEP_SCORE,10.79797647
selling,DEP_SCORE,-10.61526564
degree,DEP_SCORE,-9.34303612
hacked,DEP_SCORE,-11.22817496
sneak,DEP_SCORE,-3.51869383
suite,DEP_SCORE,9.669414342
theme,DEP_SCORE,-0.391648248
college,DEP_SCORE,-10.14373684
convo,DEP_SCORE,-16.34981547
websites,DEP_SCORE,0.389270609
keeper,DEP_SCORE,-11.41301203
guarantee,DEP_SCORE,5.222644919
clay,DEP_SCORE,-5.234110693
thankyou,DEP_SCORE,11.85250507
url,DEP_SCORE,-1.997930619
crying,DEP_SCORE,14.8232317
toh,DEP_SCORE,-0.393857935
yeh,DEP_SCORE,2.849908337
whats,DEP_SCORE,-0.068783052
stressful,DEP_SCORE,-10.09933506
electricity,DEP_SCORE,-21.80663008
where's,DEP_SCORE,2.134945122
toaster,DEP_SCORE,-2.011399637
offering,DEP_SCORE,-15.43751475
mow,DEP_SCORE,-0.054966386
hairy,DEP_SCORE,-14.98245945
jealousy,DEP_SCORE,-7.987736437
delta,DEP_SCORE,2.053166673
insert,DEP_SCORE,6.592967189
notice,DEP_SCORE,-3.73793477
wished,DEP_SCORE,1.780879929
poster,DEP_SCORE,-4.85817007
loosing,DEP_SCORE,19.51254675
plant,DEP_SCORE,0.090245173
sleeve,DEP_SCORE,1.49192272
lite,DEP_SCORE,-11.9352247
nap,DEP_SCORE,-10.75754822
house,DEP_SCORE,0.086734723
neva,DEP_SCORE,1.395630093
chicago,DEP_SCORE,19.6306219
carrie,DEP_SCORE,-31.34073863
fit,DEP_SCORE,-0.086559628
sings,DEP_SCORE,-3.444539845
trials,DEP_SCORE,0.167650622
wisely,DEP_SCORE,-8.241169451
necklace,DEP_SCORE,-0.414351036
hang,DEP_SCORE,0.358631198
broke,DEP_SCORE,5.911778542
meat,DEP_SCORE,13.36894329
entitled,DEP_SCORE,-6.282341504
grandfather,DEP_SCORE,-0.561701807
dudes,DEP_SCORE,-6.010961895
what's,DEP_SCORE,-4.981549527
greet,DEP_SCORE,-13.223672
support,DEP_SCORE,2.818345167
playin,DEP_SCORE,-4.810487759
lik,DEP_SCORE,-1.362463817
ther,DEP_SCORE,42.76039903
laptop,DEP_SCORE,5.628960668
sa,DEP_SCORE,-0.766337749
password,DEP_SCORE,-4.740762666
tony,DEP_SCORE,0.607685197
orlando,DEP_SCORE,-1.181222623
groove,DEP_SCORE,-18.05324056
deserved,DEP_SCORE,-8.711131838
brothers,DEP_SCORE,-22.64463823
practicing,DEP_SCORE,-0.258508126
swallow,DEP_SCORE,2.985802913
injured,DEP_SCORE,-4.809742322
cool,DEP_SCORE,-16.74129134
rant,DEP_SCORE,21.68455833
unconditionally,DEP_SCORE,-12.10421881
lunar,DEP_SCORE,2.518832459
slide,DEP_SCORE,-15.40997396
shore,DEP_SCORE,-13.2774605
paths,DEP_SCORE,-4.922707565
whistle,DEP_SCORE,1.088791049
scratch,DEP_SCORE,-2.938300775
home,DEP_SCORE,-9.977895766
nerve,DEP_SCORE,2.58246661
laughed,DEP_SCORE,24.97493674
judge,DEP_SCORE,13.02456404
jets,DEP_SCORE,3.711200113
taht,DEP_SCORE,-1.261185977
immortal,DEP_SCORE,25.80512999
tokyo,DEP_SCORE,4.917341113
hid,DEP_SCORE,-0.436470161
patrick's,DEP_SCORE,22.28927152
holly,DEP_SCORE,-12.50917133
fallen,DEP_SCORE,10.20123927
dar,DEP_SCORE,-8.336033042
boat,DEP_SCORE,2.11116706
kickin,DEP_SCORE,0.283234541
figures,DEP_SCORE,-10.95498504
removed,DEP_SCORE,0.562896547
lion,DEP_SCORE,-12.42821634
morn,DEP_SCORE,3.189079759
shy,DEP_SCORE,4.286693314
goodmorning,DEP_SCORE,-5.891071572
blunt,DEP_SCORE,9.290191691
behavior,DEP_SCORE,-3.444917519
build,DEP_SCORE,2.668977846
hoodie,DEP_SCORE,4.730119601
tonite,DEP_SCORE,0.919348272
awaiting,DEP_SCORE,0.832208902
focusing,DEP_SCORE,-1.385518872
threw,DEP_SCORE,-0.929288055
cousins,DEP_SCORE,-0.266336434
viruses,DEP_SCORE,3.546140927
kristen,DEP_SCORE,-1.053440002
distance,DEP_SCORE,20.80341557
highway,DEP_SCORE,-20.58690532
sell,DEP_SCORE,-3.05567729
comfortable,DEP_SCORE,-3.289694176
articles,DEP_SCORE,8.511220163
screamed,DEP_SCORE,-12.46334582
cinderella,DEP_SCORE,-1.117572527
eyes,DEP_SCORE,-9.881131788
er,DEP_SCORE,8.500302095
goodbyes,DEP_SCORE,3.42476278
teenager,DEP_SCORE,0.337744787
break,DEP_SCORE,-8.305121779
young,DEP_SCORE,-3.181687728
nfl,DEP_SCORE,-8.936584014
goodbye,DEP_SCORE,2.017402517
gaya,DEP_SCORE,-0.045151127
kc,DEP_SCORE,-1.950716141
travels,DEP_SCORE,-1.472536191
events,DEP_SCORE,-17.82199518
outing,DEP_SCORE,-3.514339544
absolutly,DEP_SCORE,-12.78218605
egypt,DEP_SCORE,-1.134399401
breaking,DEP_SCORE,8.24759991
moore,DEP_SCORE,3.457554776
fr,DEP_SCORE,-2.614652718
abuse,DEP_SCORE,2.436769029
d:<,DEP_SCORE,24.65646243
guidance,DEP_SCORE,-4.043878931
sky,DEP_SCORE,0.041635387
pinch,DEP_SCORE,3.61644605
arts,DEP_SCORE,14.31324783
fate,DEP_SCORE,15.30939032
shark,DEP_SCORE,-17.89738973
buffalo,DEP_SCORE,-5.960184269
purple,DEP_SCORE,4.238184544
truth,DEP_SCORE,-1.555405822
add,DEP_SCORE,-0.618222655
arrives,DEP_SCORE,3.903414534
moms,DEP_SCORE,3.055674007
feels,DEP_SCORE,11.45828407
disturbed,DEP_SCORE,10.89218735
ka,DEP_SCORE,0.040318227
tail,DEP_SCORE,1.652191772
weather,DEP_SCORE,-7.073998086
joe,DEP_SCORE,0.363338516
complete,DEP_SCORE,4.398505329
tools,DEP_SCORE,-11.83419405
thinner,DEP_SCORE,-0.004099579
maya,DEP_SCORE,-3.490424521
woo,DEP_SCORE,-7.995293147
delivery,DEP_SCORE,-2.084560865
task,DEP_SCORE,3.842640316
dah,DEP_SCORE,1.535466519
dealt,DEP_SCORE,-19.53422237
blanket,DEP_SCORE,26.54314471
east,DEP_SCORE,-18.9954135
sana,DEP_SCORE,-2.162420064
creeping,DEP_SCORE,20.35260473
whilst,DEP_SCORE,16.18500899
supported,DEP_SCORE,-5.342296709
constantly,DEP_SCORE,2.481485593
leg,DEP_SCORE,-8.725794565
recovered,DEP_SCORE,-1.154728667
lbs,DEP_SCORE,-0.501057154
gorgeous,DEP_SCORE,-4.716781275
porn,DEP_SCORE,-2.495349047
comeback,DEP_SCORE,24.99619649
hoped,DEP_SCORE,1.732303783
razor,DEP_SCORE,27.0368116
tho,DEP_SCORE,-1.038756926
