term,category,weight
superman,DEP_SCORE,-0.111121373
vehicle,DEP_SCORE,-4.298334004
contacts,DEP_SCORE,-5.735798498
sites,DEP_SCORE,4.308238382
wonderful,DEP_SCORE,-3.583205818
burst,DEP_SCORE,5.178413331
figuring,DEP_SCORE,-0.056458604
man's,DEP_SCORE,-5.093021385
remote,DEP_SCORE,3.561536668
flew,DEP_SCORE,-18.46201039
choosing,DEP_SCORE,-16.05738067
parks,DEP_SCORE,-10.09542161
spit,DEP_SCORE,3.149160676
hold,DEP_SCORE,2.626310794
coke,DEP_SCORE,13.70965581
big,DEP_SCORE,-6.578134384
intro,DEP_SCORE,-5.952453262
chicago,DEP_SCORE,-1.203320602
person,DEP_SCORE,-1.50894868
understanding,DEP_SCORE,-2.518478438
violent,DEP_SCORE,12.50913713
finished,DEP_SCORE,-1.212199071
address,DEP_SCORE,5.914117754
turning,DEP_SCORE,4.904488381
ty,DEP_SCORE,-1.510058732
parties,DEP_SCORE,-10.85977325
main,DEP_SCORE,-2.352492601
vegetable,DEP_SCORE,28.90743701
twelve,DEP_SCORE,-9.948748648
wrecked,DEP_SCORE,4.73400459
emotion,DEP_SCORE,-0.26831697
ultimate,DEP_SCORE,-13.74211113
pleasant,DEP_SCORE,3.153217134
obsessed,DEP_SCORE,-0.185629645
emergency,DEP_SCORE,11.59616243
difference,DEP_SCORE,-1.044483712
beyonce,DEP_SCORE,-11.81302028
membership,DEP_SCORE,-12.93095914
paint,DEP_SCORE,2.843203972
exists,DEP_SCORE,2.043767913
puff,DEP_SCORE,-2.347087671
arena,DEP_SCORE,-7.294461594
they'll,DEP_SCORE,5.01501094
define,DEP_SCORE,-10.04717577
roof,DEP_SCORE,-1.482595445
yard,DEP_SCORE,2.25153035
hug,DEP_SCORE,3.29743045
moved,DEP_SCORE,1.250100608
slapped,DEP_SCORE,-28.19347289
gf,DEP_SCORE,-9.639511014
active,DEP_SCORE,7.981220005
core,DEP_SCORE,4.166117473
brand,DEP_SCORE,-10.02819565
believes,DEP_SCORE,-9.177644034
satan,DEP_SCORE,17.60801382
siblings,DEP_SCORE,16.23518365
dye,DEP_SCORE,35.88257138
despair,DEP_SCORE,14.85947629
