term,category,weight
humble,ANX_SCORE,-15.23140626
cops,ANX_SCORE,-20.25534952
blessings,ANX_SCORE,-17.22360645
velvet,ANX_SCORE,47.64884979
dew,ANX_SCORE,-24.6243211
they've,ANX_SCORE,-12.93841669
soak,ANX_SCORE,-45.53107256
standards,ANX_SCORE,-15.89553245
ran,ANX_SCORE,-3.939776019
feels,ANX_SCORE,4.985621448
ughhh,ANX_SCORE,37.24213012
psych,ANX_SCORE,18.58016871
touched,ANX_SCORE,17.61956418
married,ANX_SCORE,8.750611781
step,ANX_SCORE,-11.44484189
tigers,ANX_SCORE,-26.90751242
absence,ANX_SCORE,1.678953851
surrounded,ANX_SCORE,-13.63286855
nc,ANX_SCORE,10.43091076
warn,ANX_SCORE,20.22719249
damaged,ANX_SCORE,27.12258444
provide,ANX_SCORE,-12.19309369
i'ma,ANX_SCORE,-12.9025787
iii,ANX_SCORE,4.74637947
translate,ANX_SCORE,26.83142157
prep,ANX_SCORE,-13.99837584
spinning,ANX_SCORE,16.85008293
leak,ANX_SCORE,-34.79480444
starting,ANX_SCORE,5.278147165
testing,ANX_SCORE,-26.6751276
existed,ANX_SCORE,-46.37964891
messing,ANX_SCORE,-12.32635162
rockin,ANX_SCORE,-38.789154
dancing,ANX_SCORE,-5.069011622
fo,ANX_SCORE,-16.5508662
rod,ANX_SCORE,-17.27955083
theme,ANX_SCORE,0.403897719
mixed,ANX_SCORE,0.019241891
grape,ANX_SCORE,-35.22115465
republic,ANX_SCORE,-1.660828744
shown,ANX_SCORE,12.02992803
bunch,ANX_SCORE,-2.872617568
escape,ANX_SCORE,-8.967536676
sipping,ANX_SCORE,37.07806519
church,ANX_SCORE,-8.396858856
dirt,ANX_SCORE,-13.70109133
failures,ANX_SCORE,28.21665257
flow,ANX_SCORE,-38.37347421
sis,ANX_SCORE,7.562837489
overload,ANX_SCORE,61.61427489
kissing,ANX_SCORE,18.47254616
throwing,ANX_SCORE,-5.143988874
sticker,ANX_SCORE,-12.12041245
overtime,ANX_SCORE,-4.504861144
population,ANX_SCORE,-41.67460191
tn,ANX_SCORE,3.375213994
bank,ANX_SCORE,7.401213222
tool,ANX_SCORE,-9.658050147
task,ANX_SCORE,-25.10002114
work,ANX_SCORE,-1.181426429
kool,ANX_SCORE,-14.26806175
creed,ANX_SCORE,5.69607666
promising,ANX_SCORE,9.899398381
longer,ANX_SCORE,1.358770517
maps,ANX_SCORE,-39.52229509
li,ANX_SCORE,13.26183163
instructor,ANX_SCORE,-37.22339446
wouldn't,ANX_SCORE,8.818763633
philly,ANX_SCORE,4.00784772
filled,ANX_SCORE,-12.70586056
umbrella,ANX_SCORE,13.61314558
privacy,ANX_SCORE,-2.687642618
lung,ANX_SCORE,57.37625022
networking,ANX_SCORE,-25.57909767
addictive,ANX_SCORE,20.71965881
amazingly,ANX_SCORE,-12.64514594
tolerance,ANX_SCORE,29.8008779
playground,ANX_SCORE,39.88811581
basic,ANX_SCORE,-41.50553657
patch,ANX_SCORE,12.01401692
diamonds,ANX_SCORE,-36.84906088
boom,ANX_SCORE,1.157532193
fortunate,ANX_SCORE,-5.837670725
basket,ANX_SCORE,25.13261919
convinced,ANX_SCORE,-0.657163175
gov,ANX_SCORE,17.59622335
gal,ANX_SCORE,-7.25623202
soy,ANX_SCORE,12.9700401
doug,ANX_SCORE,6.517254777
designed,ANX_SCORE,18.70861016
steph,ANX_SCORE,5.562208338
complain,ANX_SCORE,5.361313613
evans,ANX_SCORE,8.103336344
bothered,ANX_SCORE,-2.067118108
grow,ANX_SCORE,5.235264044
sales,ANX_SCORE,10.24628513
related,ANX_SCORE,-14.45869363
primary,ANX_SCORE,-4.650144012
bathing,ANX_SCORE,42.43250201
awareness,ANX_SCORE,-2.368973756
dolls,ANX_SCORE,49.95664671
cakes,ANX_SCORE,41.11160504
grief,ANX_SCORE,25.46322195
lectures,ANX_SCORE,2.585090068
moms,ANX_SCORE,2.515643472
pacific,ANX_SCORE,0.281373448
flows,ANX_SCORE,-39.85323352
ehh,ANX_SCORE,15.62083174
murder,ANX_SCORE,12.13664433
apparent,ANX_SCORE,-28.3102555
butt,ANX_SCORE,-3.318510494
intense,ANX_SCORE,-19.07327593
forest,ANX_SCORE,-18.70732188
audition,ANX_SCORE,22.30777677
improvement,ANX_SCORE,13.44002592
couples,ANX_SCORE,19.02596756
organize,ANX_SCORE,-27.68285068
flood,ANX_SCORE,-14.94690338
definition,ANX_SCORE,-16.87402762
semi,ANX_SCORE,34.76654905
lifetime,ANX_SCORE,-0.681384241
rib,ANX_SCORE,-0.732721947
boot,ANX_SCORE,-9.441661606
goose,ANX_SCORE,0.135807331
stab,ANX_SCORE,19.12489773
green,ANX_SCORE,-6.790648928
fifteen,ANX_SCORE,-16.9502513
mobile,ANX_SCORE,7.450881966
landed,ANX_SCORE,-27.19746835
parks,ANX_SCORE,-18.17529645
human,ANX_SCORE,-0.652626692
gimme,ANX_SCORE,-0.30199288
champagne,ANX_SCORE,22.26428408
strip,ANX_SCORE,-11.70507886
frustrating,ANX_SCORE,7.758977844
muscles,ANX_SCORE,18.04908464
nephew,ANX_SCORE,1.897257572
poured,ANX_SCORE,-43.49461627
bush,ANX_SCORE,-19.35967475
cup,ANX_SCORE,-4.61590587
cream,ANX_SCORE,0.691634842
lipstick,ANX_SCORE,33.22524967
porch,ANX_SCORE,-27.90815994
yesterday,ANX_SCORE,2.887461326
combination,ANX_SCORE,0.368675385
sincere,ANX_SCORE,-33.96485979
ye,ANX_SCORE,-20.51487066
meals,ANX_SCORE,-25.27062056
tournament,ANX_SCORE,-25.58515144
traditional,ANX_SCORE,40.14133225
survival,ANX_SCORE,1.386055365
dried,ANX_SCORE,51.39600262
previous,ANX_SCORE,3.962987831
bar,ANX_SCORE,-22.70356941
hahaha,ANX_SCORE,-4.194060111
shares,ANX_SCORE,-12.45608792
outer,ANX_SCORE,-16.20743107
salon,ANX_SCORE,13.63731345
loose,ANX_SCORE,-9.011314972
matter,ANX_SCORE,0.04747075
entire,ANX_SCORE,-4.445688361
facial,ANX_SCORE,14.70825858
bam,ANX_SCORE,-16.61376567
improved,ANX_SCORE,5.974701896
breath,ANX_SCORE,4.652272083
families,ANX_SCORE,10.5157846
fashion,ANX_SCORE,3.998138541
globe,ANX_SCORE,-3.547384405
hid,ANX_SCORE,18.52107836
da,ANX_SCORE,-2.554969247
mighty,ANX_SCORE,-11.33520094
elementary,ANX_SCORE,7.884769559
stack,ANX_SCORE,-15.5258929
shaking,ANX_SCORE,13.80668891
drums,ANX_SCORE,-8.110207325
jokes,ANX_SCORE,-10.06649178
enjoys,ANX_SCORE,-22.67936564
obey,ANX_SCORE,-41.37947627
manager,ANX_SCORE,-15.70518783
cha,ANX_SCORE,4.905515009
memories,ANX_SCORE,1.335572793
hiking,ANX_SCORE,-17.85737851
injury,ANX_SCORE,3.34641792
simpson,ANX_SCORE,-10.42369075
fails,ANX_SCORE,-38.37566213
divine,ANX_SCORE,-30.07024942
fart,ANX_SCORE,2.256189948
jersey,ANX_SCORE,-3.304308385
experiencing,ANX_SCORE,-9.86867718
meetings,ANX_SCORE,-1.674487317
scare,ANX_SCORE,34.87244614
object,ANX_SCORE,-16.77443839
fading,ANX_SCORE,38.75473683
swiss,ANX_SCORE,-17.88368965
shouting,ANX_SCORE,-2.984499277
apologize,ANX_SCORE,3.005316758
desert,ANX_SCORE,-33.89246604
sits,ANX_SCORE,1.661785674
goo,ANX_SCORE,-17.00551607
tear,ANX_SCORE,32.86692853
chi,ANX_SCORE,-1.445775345
pet,ANX_SCORE,9.884518487
existence,ANX_SCORE,-4.084600626
elevator,ANX_SCORE,-42.56839467
ref,ANX_SCORE,-11.87841384
wit,ANX_SCORE,-3.230012062
interview,ANX_SCORE,15.45967064
pokemon,ANX_SCORE,14.43770017
terribly,ANX_SCORE,16.78042285
energetic,ANX_SCORE,-9.731055465
physically,ANX_SCORE,50.7330609
burning,ANX_SCORE,1.593992335
suck,ANX_SCORE,12.99497834
tested,ANX_SCORE,-5.912859299
computers,ANX_SCORE,-18.32431805
solve,ANX_SCORE,-12.09709781
signs,ANX_SCORE,5.698009071
electric,ANX_SCORE,-51.85462556
vehicle,ANX_SCORE,-15.25825545
laugh,ANX_SCORE,1.756707742
banks,ANX_SCORE,21.36891061
millionaire,ANX_SCORE,-10.56289964
rid,ANX_SCORE,6.222056843
riding,ANX_SCORE,-7.388962958
wealth,ANX_SCORE,-3.229056289
battle,ANX_SCORE,-11.57356694
organic,ANX_SCORE,-22.47569495
nieces,ANX_SCORE,-2.183415065
celebrity,ANX_SCORE,9.889570751
challenged,ANX_SCORE,-24.14536122
locked,ANX_SCORE,-18.61962428
informed,ANX_SCORE,24.55192574
bid,ANX_SCORE,13.30493629
produce,ANX_SCORE,-6.336966214
friendships,ANX_SCORE,26.61211718
shift,ANX_SCORE,-2.11876177
boxing,ANX_SCORE,-8.666352936
september,ANX_SCORE,0.278087863
simple,ANX_SCORE,-14.51384797
motivation,ANX_SCORE,16.34835099
gurl,ANX_SCORE,14.85757036
roommates,ANX_SCORE,-35.49100495
script,ANX_SCORE,5.518593145
broken,ANX_SCORE,8.492893536
presence,ANX_SCORE,-27.64647369
animal,ANX_SCORE,9.297641791
adds,ANX_SCORE,5.542541408
lil,ANX_SCORE,-0.220927007
offering,ANX_SCORE,21.38181801
stubborn,ANX_SCORE,-15.80601793
thumb,ANX_SCORE,-13.60596357
accident,ANX_SCORE,8.593398079
twenty,ANX_SCORE,6.016579796
